AREA,CONCEPT,CENSUS,VERIFIED,EAJ-PNV,EB-AZ,EH-BILDU,ELKARREKIN POD.,ENK-EXI,PH,PP,PSE-EE,STOP,VOX,BLANK,NULL,ABSENT
BIZKAIA,VOTES,900435,100,204557,1675,132955,38756,1826,538,43893,84656,2896,10636,10152,8338,359557
BIZKAIA,PERCENTAGE,900435,100,38,,,,,,,,,,,,
BILBAO,VOTES,267249,100,54543,1177,27982,12476,0,0,18221,24917,836,5197,2762,1837,117301
BILBAO,PERCENTAGE,267249,100,36,,,,,,,,,,,,
BUSTURIA,VOTES,230852,100,59931,0,43040,8142,0,0,13010,13298,908,2405,2905,2148,85065
BUSTURIA,PERCENTAGE,230852,100,41,,,,,,,,,,,,
DURANGO,VOTES,170661,100,41128,0,34057,7267,0,538,5397,14365,655,0,1975,1866,63413
DURANGO,PERCENTAGE,170661,100,39,,,,,,,,,,,,
ENKARTERRIAK,VOTES,231673,100,48955,498,27876,10871,1826,0,7265,32076,497,3034,2510,2487,93778
ENKARTERRIAK,PERCENTAGE,231673,100,36,,,,,,,,,,,,
ABADINO,VOTES,5958,100,1311,0,1449,213,0,15,173,521,24,0,74,67,2111
ABADINO,PERCENTAGE,5958,100,34,,,,,,,,,,,,
ABANTO ZIERBENA,VOTES,7756,100,1734,25,1243,342,216,0,69,815,14,57,96,100,3045
ABANTO ZIERBENA,PERCENTAGE,7756,100,37,,,,,,,,,,,,
AJANGIZ,VOTES,395,100,85,0,193,5,0,0,0,1,0,1,9,6,95
AJANGIZ,PERCENTAGE,395,100,28,,,,,,,,,,,,
ALONSOTEGI,VOTES,2334,100,671,5,693,80,12,0,30,132,3,17,42,31,618
ALONSOTEGI,PERCENTAGE,2334,100,39,,,,,,,,,,,,
AMOREBIETA,VOTES,14605,100,4081,0,3361,543,0,33,209,882,49,0,147,142,5158
AMOREBIETA,PERCENTAGE,14605,100,43,,,,,,,,,,,,
AMOROTO,VOTES,328,100,87,0,105,0,0,0,0,0,1,0,5,5,125
AMOROTO,PERCENTAGE,328,100,43,,,,,,,,,,,,
ARAKALDO,VOTES,126,100,29,0,31,8,0,0,0,4,0,0,6,1,47
ARAKALDO,PERCENTAGE,126,100,37,,,,,,,,,,,,
ARANTZAZU,VOTES,300,100,79,0,144,7,0,0,1,8,1,0,2,2,56
ARANTZAZU,PERCENTAGE,300,100,32,,,,,,,,,,,,
AREATZA,VOTES,896,100,280,0,314,16,0,2,6,20,3,0,8,15,232
AREATZA,PERCENTAGE,896,100,43,,,,,,,,,,,,
ARRANKUDIAGA,VOTES,790,100,229,0,313,17,0,0,1,14,0,0,17,6,193
ARRANKUDIAGA,PERCENTAGE,790,100,38,,,,,,,,,,,,
ARRATZU,VOTES,337,100,154,0,113,5,0,0,1,0,1,0,4,2,57
ARRATZU,PERCENTAGE,337,100,55,,,,,,,,,,,,
ARRIETA,VOTES,476,100,175,0,123,13,0,0,0,4,1,0,4,7,149
ARRIETA,PERCENTAGE,476,100,54,,,,,,,,,,,,
ARRIGORRIAGA,VOTES,9478,100,2210,0,1938,414,0,33,246,795,28,0,130,108,3576
ARRIGORRIAGA,PERCENTAGE,9478,100,38,,,,,,,,,,,,
ARTEA,VOTES,588,100,226,0,186,19,0,0,5,8,3,0,10,10,121
ARTEA,PERCENTAGE,588,100,49,,,,,,,,,,,,
ARTZENTALES,VOTES,615,100,242,2,121,18,20,0,3,13,5,1,5,13,172
ARTZENTALES,PERCENTAGE,615,100,56,,,,,,,,,,,,
ATXONDO,VOTES,1105,100,300,0,377,21,0,1,0,35,4,0,17,16,334
ATXONDO,PERCENTAGE,1105,100,39,,,,,,,,,,,,
AULESTI,VOTES,524,100,96,0,238,1,0,0,0,2,0,0,9,4,174
AULESTI,PERCENTAGE,524,100,27,,,,,,,,,,,,
BAKIO,VOTES,2216,100,710,0,723,68,0,0,18,44,7,12,27,21,586
